,University,Tech_Cnt
0,University of Oxford,6
1,University of Cambridge,17
2,Imperial College London,15
3,UCL,47
4,London School of Economics and Political Science,45
5,University of Edinburgh,30
6,King�s College London,44
7,University of Manchester,39
8,University of Warwick,4
9,University of Bristol,30
10,University of Glasgow,11
11,Queen Mary University of London,11
12,University of Birmingham,0
13,University of Sheffield,4
14,University of Southampton,1
15,University of York,2
16,Durham University,0
17,Lancaster University,1
18,University of Exeter,3
19,University of Sussex,2
20,University of Nottingham,2
21,University of Leeds,3
22,University of Liverpool,4
23,University of Leicester,10
24,University of Aberdeen,1
25,University of East Anglia,1
26,Cardiff University,13
27,University of St Andrews,1
28,Newcastle University,25
29,Queen�s University Belfast,17
30,University of Reading,4
31,University of Dundee,9
32,"St George�s, University of London",2
33,University of Surrey,6
34,Swansea University,0
35,University of Essex,0
36,University of Bath,0
37,"Royal Holloway, University of London",2
38,Brighton and Sussex Medical School,2
39,Heriot-Watt University,0
40,Anglia Ruskin University,1
41,University of Stirling,0
42,"Birkbeck, University of London",48
43,University of Kent,3
44,"Goldsmiths, University of London",5
45,Loughborough University,1
46,Brunel University London,2
47,Northumbria University,27
48,Royal Veterinary College,44
49,"City, University of London",48
50,Aberystwyth University,0
51,University of Strathclyde,18
52,Middlesex University,2
53,Liverpool John Moores University,10
54,SOAS University of London,48
55,Bangor University,0
56,Bournemouth University,4
57,University of Portsmouth,7
58,Keele University,2
59,University of Plymouth,3
60,Aston University,24
61,University of the West of Scotland,0
62,University of Hull,0
63,The Open University,27
64,University of Lincoln,4
65,Oxford Brookes University,2
66,Nottingham Trent University,8
67,Manchester Metropolitan University,3
68,University of Huddersfield,1
69,De Montfort University,11
70,Glasgow Caledonian University,19
71,Ulster University,13
72,University of the West of England,1
73,Coventry University,7
74,University of Greenwich,4
75,University of Brighton,34
76,University of Hertfordshire,2
77,University of Westminster,49
78,Edinburgh Napier University,7
79,University of Salford,5
80,University of Bradford,3
81,University of Roehampton,0
82,University of East London,2
83,Kingston University,0
84,Sheffield Hallam University,18
85,University of Central Lancashire,3
86,Cardiff Metropolitan University,0
87,Teesside University,10
88,Leeds Beckett University,13
89,Staffordshire University,3
90,University of Wolverhampton,0
91,Birmingham City University,0
92,University of Bedfordshire,1
93,University of Derby,0
94,Robert Gordon University,0
95,University of South Wales,4
96,Edge Hill University,0
97,University of Chester,3
98,London South Bank University,50
99,Canterbury Christ Church University,2
