,University,International_Students,Percentage_Female,Percentage_Male,Teaching,Research,Citations,Industry_Income,International_Outlook,location
0,University of Oxford,0.41,0.46,0.54,0.905,0.996,0.9840000000000001,0.655,0.9640000000000001,"(51.75870755, -1.2556684826092037, 0.0)"
1,University of Cambridge,0.37,0.47,0.53,0.914,0.987,0.958,0.593,0.95,"(52.1998523, 0.11973865741074383, 0.0)"
2,Imperial College London,0.56,0.38,0.62,0.845,0.8759999999999999,0.97,0.6990000000000001,0.971,"(51.49887085, -0.17560795583940397, 0.0)"
3,UCL,0.52,0.57,0.43,0.778,0.887,0.961,0.42700000000000005,0.9620000000000001,"(51.52412645, -0.13293023735954784, 0.0)"
4,London School of Economics and Political Science,0.71,0.53,0.47,0.69,0.83,0.9279999999999999,0.35100000000000003,0.932,"(51.514429050000004, -0.11658840336537557, 0.0)"
5,University of Edinburgh,0.41,0.6,0.4,0.6729999999999999,0.741,0.9640000000000001,0.389,0.938,"(55.9441283, -3.1884063612377216, 0.0)"
6,King�s College London,0.44,0.62,0.38,0.613,0.685,0.948,0.456,0.956,"(51.5121, -0.11733, 0.0)"
7,University of Manchester,0.4,0.53,0.47,0.569,0.638,0.852,0.447,0.91,"(53.47396245, -2.2351186696632572, 0.0)"
8,University of Warwick,0.41,0.49,0.51,0.469,0.527,0.888,0.428,0.938,"(52.3793131, -1.5604252, 0.0)"
9,University of Bristol,0.27,0.54,0.46,0.418,0.484,0.955,0.409,0.866,"(51.4559691, -2.6035903, 0.0)"
10,University of Glasgow,0.37,0.59,0.41,0.41100000000000003,0.479,0.9179999999999999,0.4,0.9229999999999999,"(55.872315349999994, -4.289219112981823, 0.0)"
11,Queen Mary University of London,0.43,0.54,0.46,0.353,0.431,0.98,0.441,0.9670000000000001,"(51.5247272, -0.03931034663016243, 0.0)"
12,University of Birmingham,0.29,0.57,0.43,0.396,0.456,0.9209999999999999,0.39299999999999996,0.892,"(52.4503734, -1.9314346, 0.0)"
